typology,location,time,mean,median,min,max,area_m2_bin_0_-inf_15.0,percent_bin_0_-inf_15.0,area_m2_bin_1_15.0_20.0,percent_bin_1_15.0_20.0,area_m2_bin_2_20.0_25.0,percent_bin_2_20.0_25.0,area_m2_bin_3_25.0_30.0,percent_bin_3_25.0_30.0,area_m2_bin_4_30.0_35.0,percent_bin_4_30.0_35.0,area_m2_bin_5_35.0_40.0,percent_bin_5_35.0_40.0,area_m2_bin_6_40.0_45.0,percent_bin_6_40.0_45.0,area_m2_bin_7_45.0_50.0,percent_bin_7_45.0_50.0,area_m2_bin_8_50.0_55.0,percent_bin_8_50.0_55.0,area_m2_bin_9_55.0_60.0,percent_bin_9_55.0_60.0,area_m2_bin_10_60.0_inf,percent_bin_10_60.0_inf
bloemkool,2,morning,38.419315,38.98968,23.007706,55.03004,0.0,0.0,0.0,0.0,876.5,0.1452335356081064,141467.75,23.440800350283737,91134.0,15.100642366353872,91584.75,15.175330348299513,115788.0,19.185739442089474,126947.75,21.034878003415848,35711.75,5.917334529666621,0.25,4.1424282831747404e-05,0.0,0.0
bloemkool,2,afternoon,48.0319,50.255695,28.749405,64.117325,0.0,0.0,0.0,0.0,0.0,0.0,36.75,0.006089369576266868,62845.25,10.413277642527493,103919.25,17.219121614652266,57191.5,9.476467486287527,73361.5,12.155790099844948,120754.5,20.008674244824967,174722.0,28.95093417971428,10680.0,1.7696453625722492
bloemkool,2,evening,27.801819,26.813393,24.3351,40.99635,0.0,0.0,0.0,0.0,9910.0,1.6420585714504672,465072.0,77.0610962605057,120758.25,20.009295609067443,7748.25,1.2838627978043473,22.25,0.003686761172025519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bloemkool,2,12:00,51.042347,57.12054,28.749613,66.763824,0.0,0.0,0.0,0.0,0.0,0.0,27.5,0.004556671111492215,38276.0,6.342223398671855,145332.5,24.08117833857972,39790.5,6.593171704066581,2428.5,0.40239548342759435,24226.75,4.014302976376146,199953.5,33.131721348791224,153475.5,25.430450078975397
bloemkool,3,morning,37.16874,36.25727,23.098213,54.061523,0.0,0.0,0.0,0.0,718.75,0.11435294529434648,179477.75,28.554865151029414,110448.5,17.572328735085392,87368.0,13.900226955793338,104954.75,16.69827448366165,126948.5,20.19747460966865,18620.25,2.9624771194672066,0.0,0.0,0.0,0.0
bloemkool,3,afternoon,46.00888,45.94847,28.637178,64.44972,0.0,0.0,0.0,0.0,0.0,0.0,32.5,0.005170741874179145,90289.0,14.364957325469563,138423.0,22.023064690753838,71886.25,11.437084401621862,75273.0,11.975915479848824,107785.5,17.148646100902653,130010.0,20.684558494216326,14837.25,2.360602765312754
bloemkool,3,evening,29.950623,28.52597,25.04342,45.60132,0.0,0.0,0.0,0.0,0.0,0.0,439382.25,69.90560611833997,96140.5,15.29592951244677,77012.75,12.252709269867381,15987.5,2.5436072527212024,13.5,0.0021478466246590295,0.0,0.0,0.0,0.0,0.0,0.0
bloemkool,3,12:00,48.84757,54.56959,28.69395,67.38416,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.003977493749368573,61514.0,9.786862019946335,181377.25,28.85707512610644,42376.5,6.742090554804693,2751.25,0.43772318711801145,35045.75,5.575770062677346,185981.75,29.589649924865142,119465.0,19.006851630732662
bloemkool,4,morning,36.36489,35.59976,23.04069,54.41443,0.0,0.0,0.0,0.0,895.25,0.1922514247059992,135399.0,29.076403969581214,86250.5,18.521956444127095,77717.5,16.68952817602736,92123.5,19.78316014957064,67079.75,14.405113104074003,6200.75,1.331586731913683,0.0,0.0,0.0,0.0
bloemkool,4,afternoon,45.76906,46.02969,28.613218,63.434948,0.0,0.0,0.0,0.0,0.0,0.0,51.25,0.011005736404560132,56139.25,12.05568365755517,107367.5,23.056749334958244,57722.5,12.395680382677508,65666.0,14.10151583886528,87949.5,18.88681002756803,85010.0,18.255563936617698,5760.25,1.2369910853535122
