typology,stat,time,with_trees_avg,without_trees_avg,with_trees_std,without_trees_std
historisch,mean,morning,32.480975666666666,35.7068115,0.6838416702169201,1.0290486914393797
historisch,mean,afternoon,45.89675033333333,51.80399733333334,1.4573258900187915,2.075631697396788
historisch,mean,evening,28.974692833333332,30.518409666666667,0.3798323176668446,0.8176712352347162
tuindorp,mean,morning,34.907968333333336,39.377994666666666,1.6950925265743664,0.28716091243877084
tuindorp,mean,afternoon,50.36130816666667,58.38124266666666,2.9903036439897814,0.5510008518333389
tuindorp,mean,evening,31.14183483333333,35.696360500000004,1.4619639206877046,0.8780191844923985
vinex,mean,morning,35.60917466666667,39.90318266666667,0.857464887832888,0.4136120754957071
vinex,mean,afternoon,51.506663,59.025964833333326,1.323690469622561,0.5000700465704432
vinex,mean,evening,32.03128183333333,37.022605,0.7173054043912998,0.9544889444361315
volkswijk,mean,morning,33.9023835,37.87152233333334,0.8459997687171671,0.7863674251347548
volkswijk,mean,afternoon,48.351536833333334,55.5797705,1.4578846234694187,1.2869526061465908
volkswijk,mean,evening,29.2185855,32.08429783333333,0.8410635746103263,1.4689756446547917
bloemkool,mean,morning,34.470133000000004,40.115687,0.873817251610884,0.32952971545947096
bloemkool,mean,afternoon,49.38882583333333,59.32181966666667,1.565869349120087,0.5381749752088671
bloemkool,mean,evening,31.206627833333332,37.42862066666667,0.5351013358620645,0.9734625829866635
stedelijk,mean,morning,31.974635750000004,37.188561500000006,0.15926962421289473,0.31184727466448486
stedelijk,mean,afternoon,45.09664624999999,54.487919999999995,0.2672197689023953,1.102256447414424
stedelijk,mean,evening,28.367735,31.5920945,0.4327978846205237,1.4349296774189553
historisch,median,morning,31.561037333333335,36.4471945,1.0231783297055632,1.8990345986581427
historisch,median,afternoon,44.46500283333334,52.66566650000001,1.8416281744373297,2.996676675435489
historisch,median,evening,27.114095000000002,27.799409999999998,0.4173141248100761,0.555195923319687
tuindorp,median,morning,35.58351266666667,41.05526666666667,2.782778083713516,0.1686825343533424
tuindorp,median,afternoon,51.39570183333333,62.02984683333333,4.910260173224732,0.8965465206134947
tuindorp,median,evening,29.10956116666667,34.721216,0.7644175497031491,3.3345342907159323
vinex,median,morning,36.793201,41.23352933333333,1.348275526404598,0.22912214951825774
vinex,median,afternoon,53.40968316666666,61.31721566666666,2.00899289061464,1.0388484458683418
vinex,median,evening,29.709368833333333,36.87035483333333,0.6628132669068768,2.8451315622369675
volkswijk,median,morning,34.040359333333335,39.52722466666666,1.4183555553684928,1.0089489745055829
volkswijk,median,afternoon,48.35969166666666,58.66274316666667,2.166135608855611,2.2926025863602626
volkswijk,median,evening,27.72158466666667,29.814747,0.561008998534129,3.1994819520995583
bloemkool,median,morning,35.075589666666666,41.237835,1.6149570971670637,0.22037508767281272
bloemkool,median,afternoon,50.027725000000004,61.30563083333334,2.9105502426096677,0.7228985967197387
bloemkool,median,evening,29.307129833333335,38.10028466666667,0.3994624095893968,0.7077244638528956
stedelijk,median,morning,30.646679749999997,38.5623315,0.2527958660558293,0.6673579777368346
stedelijk,median,afternoon,42.86680875,56.87313125,0.41703318576053966,2.2916407111347676
stedelijk,median,evening,26.95197125,28.110836749999997,0.2645118722645856,0.48892305237625766
historisch,min,morning,23.31608733333333,23.356870999999998,0.061778008163639375,0.03104058492361229
historisch,min,afternoon,28.268330666666667,28.358202666666667,0.10094305797164407,0.035679417622302964
historisch,min,evening,24.906637833333335,25.076800500000004,0.27890862034251784,0.3091146492741818
tuindorp,min,morning,23.328451166666667,23.345493,0.03927875852629132,0.02676705245633182
tuindorp,min,afternoon,28.233821000000002,28.2649195,0.07962079993569568,0.06261216787733832
tuindorp,min,evening,25.142448333333334,25.146802500000003,0.2550292370209075,0.2580639584961445
vinex,min,morning,23.337841666666662,23.349724999999996,0.04261093690904615,0.022442746658999153
vinex,min,afternoon,28.30001066666667,28.324293833333332,0.04896056132303501,0.02882814117779036
vinex,min,evening,25.04049016666666,25.127019999999998,0.23905286099473158,0.2820851552343717
volkswijk,min,morning,23.288869166666668,23.343052166666666,0.03082169335008526,0.014703662012121033
volkswijk,min,afternoon,28.188831499999996,28.2941715,0.09590073703105825,0.09388879755700263
